Название региона;Общая площадь дома, кв.м;Наибольшее количество этажей;Год ввода в эксплуатацию;Последнее изменение анкеты;Дата начала  обслуживания дома;Количество этажей:наибольшее, ед.;Количество этажей:наименьшее, ед.;Количество помещений, в том числе:;Количество помещений, в том числе:жилых, ед.;Количество помещений, в том числе:нежилых, ед.;Общая площадь дома, в том числе, кв.м:;Общая площадь дома, в том числе, кв.м:общая площадь жилых помещений, кв.м;Общая площадь дома, в том числе, кв.м:общая площадь нежилых помещений, кв.м;Общая площадь дома, в том числе, кв.м:общая площадь помещений, входящих в состав общего имущества, кв.м;Общие сведения о земельном участке, на котором расположен многоквартирный дом:площадь земельного участка, входящего в состав общего имущества в многоквартирном доме, кв.м;Общие сведения о земельном участке, на котором расположен многоквартирный дом:площадь парковки в границах земельного участка, кв.м;Элементы благоустройства:детская площадка;Элементы благоустройства:спортивная площадка;Элементы благоустройства:другое;Год постройки;Год ввода дома в эксплуатацию;Серия, тип постройки здания;Тип дома;Способ формирования фонда капитального ремонта;Дом признан аварийным;Количество подъездов, ед.;Количество лифтов, ед.;Класс энергетической эффективности;Дополнительная информация;Кадастровый номер;Анкета дома;Ссылки
Власиха (ЗАТО);3 804.00;5;1959;21.12.2015 в 12:36;01.07.2015;5;5;Не заполнено;Не заполнено;Не заполнено;3 804.00;3 614.10;189.90;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1959;1959;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;5;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 3, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063938/
Власиха (ЗАТО);3 210.00;4;1963;09.06.2016 в 16:19;03.08.2015;4;4;115;115;0;3 210.00;1 469.33;0.00;0.00;1 302.50;0.00;Не имеется;Не имеется;-;1963;1963;кирпичный;Многоквартирный дом;Не определен;Нет;1;0;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 5;https://www.reformagkh.ru/myhouse/profile/view/8254185/
Власиха (ЗАТО);2 323.00;4;1935;21.12.2015 в 12:36;01.07.2015;4;4;Не заполнено;Не заполнено;Не заполнено;2 323.00;2 289.00;34.00;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1935;1935;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;4;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 7, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063939/
Власиха (ЗАТО);17 407.30;16;2007;21.12.2015 в 12:36;01.07.2015;16;16;Не заполнено;Не заполнено;Не заполнено;17 407.30;11 897.69;5 509.61;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2007;2007;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;6;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 11, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063957/
Власиха (ЗАТО);17 082.90;16;2008;21.12.2015 в 12:36;01.07.2015;16;16;189;Не заполнено;Не заполнено;17 082.90;11 901.60;5 181.30;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2008;2008;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;6;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 13, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063958/
Власиха (ЗАТО);4 332.00;9;1979;21.12.2015 в 12:36;01.07.2015;9;9;63;Не заполнено;Не заполнено;4 332.00;3 235.40;1 096.60;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1979;1979;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;1;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 16, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063941/
Власиха (ЗАТО);6 250.20;10;2004;21.12.2015 в 12:37;01.07.2015;10;10;80;Не заполнено;Не заполнено;6 250.20;5 040.10;1 210.10;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2004;2004;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;2;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 18, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063943/
Власиха (ЗАТО);6 773.10;10;2004;21.12.2015 в 12:37;01.07.2015;10;10;80;Не заполнено;Не заполнено;6 773.10;5 168.50;1 604.60;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2004;2004;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;2;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 19, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063952/
Власиха (ЗАТО);6 711.00;10;2003;21.12.2015 в 12:37;01.07.2015;10;10;80;Не заполнено;Не заполнено;6 711.00;5 182.10;1 528.90;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2003;2003;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;2;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 20, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063953/
Власиха (ЗАТО);6 631.00;10;2003;21.12.2015 в 12:37;01.07.2015;10;10;78;Не заполнено;Не заполнено;6 631.00;5 096.90;1 534.10;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2003;2003;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;2;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 21, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063954/
Власиха (ЗАТО);6 596.10;10;2003;21.12.2015 в 12:37;01.07.2015;10;10;78;Не заполнено;Не заполнено;6 596.10;4 964.40;1 631.70;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2003;2003;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;2;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 22, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063956/
Власиха (ЗАТО);7 903.00;9;1985;18.12.2015 в 11:45;01.07.2015;9;9;105;Не заполнено;Не заполнено;7 903.00;6 315.60;1 587.40;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1985;1985;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 1, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063989/
Власиха (ЗАТО);8 022.00;9;1986;18.12.2015 в 11:46;01.07.2015;9;9;106;Не заполнено;Не заполнено;8 022.00;6 329.10;1 692.90;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1986;1986;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 2, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063990/
Власиха (ЗАТО);7 366.00;9;1987;18.12.2015 в 11:47;01.07.2015;9;9;105;Не заполнено;Не заполнено;7 366.00;5 812.90;1 553.10;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1987;1987;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 3, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063991/
Власиха (ЗАТО);7 358.00;9;1987;18.12.2015 в 11:47;01.07.2015;9;9;105;Не заполнено;Не заполнено;7 358.00;5 805.90;2 661.60;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1987;1987;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 4, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063992/
