paste.UND2...9...ID..sep.......;X|Y|ID
"""Россия, Москва, Арбатско-Покровская линия, метро Мякинино"",109330";37.624992|55.726872|238035
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Нагатинская"",98514";37.587955|55.79391|211088
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Нагорная"",56778";30.296662|60.002517|70968
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Нахимовский проспект"",225509";37.624373|55.761578|226713
"""Россия, Москва, Нижегородская улица"",216510";37.817969|55.715682|25625
"""Россия, Москва, улица Верхняя Масловка"",153754";30.258663|60.008549|72243
"""Россия, Москва, Калининская линия, метро Новогиреево"",105564";37.583841|55.747642|95440
"""Россия, Москва, Калининская линия, метро Новокосино"",234805";37.567545|55.744596|108758
"""Россия, Москва, Замоскворецкая линия, метро Новокузнецкая"",226782";30.332505|60.051468|214301
"""Россия, Москва, Кольцевая линия, метро Новослободская"",42447";37.74375|55.620733|129856
"""Россия, Москва, Калужско-Рижская линия, метро Новоясеневская"",45114";37.681236|55.746228|159954
"""Россия, Москва, Калужско-Рижская линия, метро Новые Черёмушки"",171172";49.142275|55.777094|225045
"""Россия, Москва, Окская улица"",223821";37.633877|55.75436|166184
"""Россия, Москва, Калужско-Рижская линия, метро Октябрьская"",33463";30.366443|59.999642|239759
"""Россия, Москва, Калужско-Рижская линия, метро Октябрьская"",40729";37.545581|55.773469|45139
"""Россия, Москва, Таганско-Краснопресненская линия, метро Октябрьское Поле"",185505";37.583841|55.747642|107365
"""Россия, Москва, Замоскворецкая линия, метро Орехово"",20766";82.953056|55.043355|223582
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Отрадное"",163323";37.618471|55.736807|10033
"""Россия, Москва, Сокольническая линия, метро Охотный Ряд"",162391";37.638737|55.8078|58520
"""Россия, Москва, Замоскворецкая линия, метро Павелецкая"",153357";30.255169|59.989342|238573
"""Россия, Москва, Замоскворецкая линия, метро Павелецкая"",147744";50.199044|53.200938|28604
"""Россия, Москва, Сокольническая линия, метро Парк культуры"",93351";30.288317|59.950222|137647
"""Россия, Москва, Сокольническая линия, метро Парк культуры"",86678";37.859129|55.6739|55428
"""Россия, Москва, Арбатско-Покровская линия, метро Парк Победы"",56946";43.926683|56.320737|79297
"""Россия, Москва, Арбатско-Покровская линия, метро Парк Победы"",157658";37.855087|55.684493|88930
"""Россия, Москва, Арбатско-Покровская линия, метро Партизанская"",74445";30.333951|60.066994|11046
"""Россия, Москва, Арбатско-Покровская линия, метро Первомайская"",38659";37.603011|55.883868|54393
"""Россия, Москва, Арбатско-Покровская линия, метро Первомайская"",35227";37.661527|55.887473|126517
"""Россия, Москва, Калининская линия, метро Перово"",238317";37.515461|55.804805|180753
"""Россия, Москва, Северный административный округ, район Аэропорт, Петровский парк"",224546";37.424048|55.621811|127955
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Петровско-Разумовская"",67213";37.586239|55.707689|109881
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Петровско-Разумовская"",126409";37.576403|55.568425|144291
"""Россия, Москва, Люблинско-Дмитровская линия, метро Печатники"",37025";37.660045|55.75859|92386
"""Россия, Москва, Филёвская линия, метро Пионерская"",61901";37.685683|55.70632|144043
